,City,Country,Lat,Lng,Date,Cloudiness,Humidity,Wind Speed,Max Temp
0,Bredasdorp,ZA,-34.53,20.04,1569169666,28,50,6.93,59.0
1,La Ronge,CA,55.1,-105.3,1569169666,20,67,6.93,59.0
2,Longyearbyen,NO,78.22,15.63,1569169667,40,77,10.29,32.0
3,Ushuaia,AR,-54.81,-68.31,1569169429,90,99,6.24,42.8
4,Pipri,IN,24.21,83.02,1569169667,82,79,3.24,80.61
5,Pitimbu,BR,-7.47,-34.81,1569169667,20,54,10.29,84.2
6,Saint George,GR,39.45,22.34,1569169667,20,56,10.29,71.6
7,Tuatapere,NZ,-46.13,167.69,1569169668,100,56,13.0,57.0
8,Punta Arenas,CL,-53.16,-70.91,1569169668,75,75,5.82,42.8
9,Chuy,UY,-33.69,-53.46,1569169668,0,55,12.82,54.15
10,Isangel,VU,-19.55,169.27,1569169668,75,88,5.82,68.0
11,Cape Town,ZA,-33.93,18.42,1569169668,20,58,18.34,61.0
12,Yumen,CN,40.29,97.04,1569169669,0,14,15.61,68.37
13,Yekaterinoslavka,RU,54.34,72.46,1569169669,100,79,17.65,56.31
14,Mahebourg,MU,-20.41,57.7,1569169669,75,88,13.87,71.6
15,Qaanaaq,GL,77.48,-69.36,1569169669,0,52,5.61,24.27
16,Bilibino,RU,68.06,166.44,1569169670,88,96,2.15,18.87
17,Alibag,IN,18.64,72.88,1569169670,20,83,6.93,82.4
18,Saldanha,PT,41.42,-6.55,1569169670,94,44,10.18,68.19
19,Rikitea,PF,-23.12,-134.97,1569169670,100,85,16.62,70.35
20,Tashtyp,RU,52.8,89.89,1569169670,0,90,1.03,45.15
21,Tuim,RU,54.34,89.93,1569169671,0,88,4.56,46.23
22,Busselton,AU,-33.64,115.35,1569169671,100,66,13.31,48.0
23,Altay,CN,47.83,88.13,1569169671,0,30,6.69,54.33
24,Barrow,AR,-38.31,-60.23,1569169671,0,27,8.9,63.15
25,Ribeira Grande,PT,38.52,-28.7,1569169672,75,88,23.04,75.2
26,Zhezkazgan,KZ,47.8,67.71,1569169672,90,87,20.13,51.8
27,Castro,CL,-42.48,-73.76,1569169437,75,70,9.17,46.4
28,Kaitangata,NZ,-46.28,169.85,1569169672,88,57,3.0,52.0
29,Constitucion,MX,23.99,-104.67,1569169672,5,59,2.24,70.0
30,Musoma,TZ,-1.5,33.81,1569169672,20,65,11.41,78.8
31,Challans,FR,46.85,-1.88,1569169673,40,63,16.11,66.99
32,Atuona,PF,-9.8,-139.03,1569169673,67,80,22.53,79.71
33,Hithadhoo,MV,-0.6,73.08,1569169594,100,78,14.99,82.77
34,New Norfolk,AU,-42.78,147.06,1569169673,83,65,10.29,44.6
35,Ishim,RU,56.11,69.47,1569169673,78,86,13.06,43.53
36,Fortuna,US,40.6,-124.16,1569169674,20,93,8.05,62.01
37,Port Alfred,ZA,-33.59,26.89,1569169674,20,88,8.01,55.99
38,Hobart,AU,-42.88,147.33,1569169550,83,65,8.05,44.6
39,Hun,BE,50.34,4.87,1569169674,76,77,11.41,75.2
40,Beringovskiy,RU,63.05,179.32,1569169674,0,73,4.61,27.87
41,Jamestown,AU,-33.21,138.6,1569169675,18,98,7.67,42.99
42,Pathein,MM,16.78,94.73,1569169675,76,90,8.08,77.91
43,Coquimbo,CL,-29.95,-71.34,1569169565,90,87,8.05,53.6
44,Cheyenne,US,41.14,-104.82,1569169666,1,28,23.04,63.0
45,Lagos,NG,6.46,3.39,1569169499,40,66,5.82,86.0
46,East London,ZA,-33.02,27.91,1569169675,0,82,12.75,55.4
47,Yellowknife,CA,62.45,-114.38,1569169676,75,87,5.82,53.6
48,Mataura,NZ,-46.19,168.86,1569169676,100,56,13.0,57.0
49,Labuhan,ID,-2.54,115.51,1569169676,9,84,1.97,74.67
50,Tomatlan,MX,19.93,-105.25,1569169676,4,84,6.15,80.79
51,Aberdeen,US,46.98,-123.82,1569169676,90,100,6.93,62.01
52,Puerto Ayora,EC,-0.74,-90.35,1569169677,75,56,18.34,73.4
53,Arraial do Cabo,BR,-22.97,-42.02,1569169677,75,88,12.75,73.4
